,Scientific Name,Local Name,Tree Usage,Other Usages,has_fruits,country_x,verbatim_name,nameSource_x,country_y,scientificName,rank,status,kingdom,phylum,order,family,genus,species,confidence,canonicalName,species_matched_from_accepted,country_matched_from,source,verbatim_name_from_gbif,match_score,match_status,nameSource_y,original_name_gbif_local,species_matched_from_gbif_local,_merge,cleaned_scientific_name
70,Terminalia brownii,muuku,CONSTRUCTION FODDER SOIL_FERTILITY MEDICINAL SHADE FIREWOOD ,,FALSE,Kenya,terminalia brownii,scientific_name,Kenya,Terminalia brownii Fresen.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Myrtales,Combretaceae,Terminalia,Terminalia brownii,100,Terminalia brownii,,,,,,,,,,both,Terminalia brownii
71,,itatha,FIREWOOD ,,FALSE,Kenya,itatha,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
72,Acacia tortilis,kimwaa,FODDER SHADE FIREWOOD ,,FALSE,Kenya,acacia tortillis,scientific_name,Kenya,Acacia tortilis (Forssk.) Hayne,SPECIES,SYNONYM,Plantae,Tracheophyta,Fabales,Fabaceae,Vachellia,Vachellia tortilis,97,Acacia tortilis,,,,,,,,,,both,Acacia tortilis
73,Combretum apiculatum,itithi,FODDER SOIL_FERTILITY FIREWOOD ,,FALSE,Kenya,combretum apiculatum,scientific_name,Kenya,Combretum apiculatum Sond.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Myrtales,Combretaceae,Combretum,Combretum apiculatum,100,Combretum apiculatum,,,,,,,,,,both,Combretum apiculatum
74,Cassia sieberiana,kaluli,FIREWOOD ,,FALSE,Kenya,cassia sieberiana,scientific_name,Kenya,Cassia sieberiana DC.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Cassia,Cassia sieberiana,99,Cassia sieberiana,,,,,,,,,,both,Cassia sieberiana
75,Croton megalocarpus,kithulu,CONSTRUCTION SHADE FIREWOOD ,,FALSE,Kenya,kithulu,local_name (replaced NA),Kenya,Croton megalocarpus Hutch.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Malpighiales,Euphorbiaceae,Croton,Croton megalocarpus,100,Croton megalocarpus,Kithulu,Kenya,V,croton megalocarpus,0,Accepted,scientific_name,kithulu,Kithulu,both,Croton megalocarpus
76,Senna siamea,mukyora,CONSTRUCTION SHADE FIREWOOD ,,FALSE,Kenya,senna siammea,scientific_name,Kenya,Senna siamea (Lam.) H.S.Irwin & Barneby,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Senna,Senna siamea,98,Senna siamea,,,,,,,,,,both,Senna siamea
77,,unknown,SHADE ,,FALSE,Kenya,unknown,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
78,Mangifera indica,Mango Tree,SHADE ,,FALSE,Kenya,mango tree,local_name (replaced NA),Kenya,Mangifera indica L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Anacardiaceae,Mangifera,Mangifera indica,99,Mangifera indica,Mango tree,Kenya,V,mangifera indica,0,Accepted,scientific_name,mango tree,Mango tree,both,Mangifera indica
79,Senna siamea,Mjohoro,SHADE ,,FALSE,Kenya,mjohoro,local_name (replaced NA),Kenya,Senna siamea (Lam.) H.S.Irwin & Barneby,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Senna,Senna siamea,100,Senna siamea,mjohoro,Kenya,V,senna siamea,0,Accepted,scientific_name,mjohoro,mjohoro,both,Senna siamea
80,Rhus natalensis,Muthingii,SHADE FIREWOOD CONSTRUCTION ,,FALSE,Kenya,muthingii,local_name (replaced NA),Kenya,Rhus natalensis Bernh. ex Krauss,SPECIES,SYNONYM,Plantae,Tracheophyta,Sapindales,Anacardiaceae,Searsia,Searsia natalensis,99,Rhus natalensis,Muthigio,Kenya,R,rhus natalensis,0.069444444,Accepted,scientific_name,muthingii,Muthigio,both,Rhus natalensis
81,,Kimwaa,FIREWOOD FODDER CONSTRUCTION ,,FALSE,Kenya,kimwaa,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
82,Balanites aegyptiaca,Kilului,FIREWOOD FODDER CONSTRUCTION ,,FALSE,Kenya,kilului,local_name (replaced NA),Kenya,Balanites aegyptiaca (L.) Delile,SPECIES,ACCEPTED,Plantae,Tracheophyta,Zygophyllales,Zygophyllaceae,Balanites,Balanites aegyptiaca,99,Balanites aegyptiaca,Kilului,Kenya,R,balanites aegyptiaca,0,Accepted,scientific_name,kilului,Kilului,both,Balanites aegyptiaca
83,Acacia mellifera,KITHINGII,FIREWOOD FODDER CONSTRUCTION MEDICINAL ,,FALSE,Kenya,kithingii,local_name (replaced NA),Kenya,Acacia mellifera (Vahl.) Benth.,SPECIES,SYNONYM,Plantae,Tracheophyta,Fabales,Fabaceae,Senegalia,Senegalia mellifera,99,Acacia mellifera,kithiia,Kenya,V,acacia mellifera,0.095238095,Accepted,scientific_name,muthiia,Muthiia,both,Acacia mellifera
84,,Muloikena,FIREWOOD FODDER MEDICINAL ,,FALSE,Kenya,muloikena,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
85,,kikongori,FIREWOOD SHADE ,,FALSE,Kenya,kikongori,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
86,Acacia tortilis,wapugha,FIREWOOD SHADE CONSTRUCTION ,,FALSE,Kenya,wapugha,local_name (replaced NA),Kenya,Acacia tortilis (Forssk.) Hayne,SPECIES,SYNONYM,Plantae,Tracheophyta,Fabales,Fabaceae,Vachellia,Vachellia tortilis,97,Acacia tortilis,wapugha,Kenya,V,acacia tortillis,0,Accepted,scientific_name,wapugha,wapugha,both,Acacia tortilis
87,,baki,FIREWOOD MEDICINAL ,,FALSE,Kenya,baki,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
88,Millettia dura,mwaghani,FIREWOOD SHADE ,,FALSE,Kenya,mwaghani,local_name (replaced NA),Kenya,Millettia dura Dunn,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Millettia,Millettia dura,100,Millettia dura,Mwanga,Kenya,R,millettia dura,0.097222222,Accepted,scientific_name,mwaghani,Mwanga,both,Millettia dura
89,Albizia anthelmintica,porozi,FIREWOOD MEDICINAL SHADE ,,FALSE,Kenya,porozi,local_name (replaced NA),Kenya,Albizia anthelmintica (A.Rich.) Brongn.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Albizia,Albizia anthelmintica,100,Albizia anthelmintica,Porozi,Kenya,V,albizia anthelmintica,0,Accepted,scientific_name,porozi,Porozi,both,Albizia anthelmintica
90,,kimwaa,SHADE FIREWOOD FODDER ,,FALSE,Kenya,kimwaa,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
91,Balanites aegyptiaca,Kilului,SHADE FIREWOOD SOIL_FERTILITY FODDER FRUITS ,,TRUE,Kenya,kilului,local_name (replaced NA),Kenya,Balanites aegyptiaca (L.) Delile,SPECIES,ACCEPTED,Plantae,Tracheophyta,Zygophyllales,Zygophyllaceae,Balanites,Balanites aegyptiaca,99,Balanites aegyptiaca,Kilului,Kenya,R,balanites aegyptiaca,0,Accepted,scientific_name,kilului,Kilului,both,Balanites aegyptiaca
92,Acacia nilotica,Mulela,SHADE FIREWOOD SOIL_FERTILITY FODDER CONSTRUCTION ,,FALSE,Kenya,acacia nilotica,scientific_name,Kenya,Acacia nilotica (L.) Willd. ex Delile,SPECIES,SYNONYM,Plantae,Tracheophyta,Fabales,Fabaceae,Vachellia,Vachellia nilotica,99,Acacia nilotica,,,,,,,,,,both,Acacia nilotica
93,Acacia tortilis,Mwaa,SHADE FIREWOOD SOIL_FERTILITY FODDER ,,FALSE,Kenya,acacia tortillis,scientific_name,Kenya,Acacia tortilis (Forssk.) Hayne,SPECIES,SYNONYM,Plantae,Tracheophyta,Fabales,Fabaceae,Vachellia,Vachellia tortilis,97,Acacia tortilis,,,,,,,,,,both,Acacia tortilis
94,Acacia mellifera,Muthiia,SHADE FIREWOOD SOIL_FERTILITY FODDER ,,FALSE,Kenya,muthiia,local_name (replaced NA),Kenya,Acacia mellifera (Vahl.) Benth.,SPECIES,SYNONYM,Plantae,Tracheophyta,Fabales,Fabaceae,Senegalia,Senegalia mellifera,99,Acacia mellifera,Muthiia,Kenya,R,acacia mellifera,0,Accepted,scientific_name,muthiia,Muthiia,both,Acacia mellifera
95,Eriobotrya japonica,Kiundwa,SHADE FIREWOOD SOIL_FERTILITY FODDER CONSTRUCTION ,,FALSE,Kenya,kiundwa,local_name (replaced NA),Kenya,Eriobotrya japonica (Thunb.) Lindl.,SPECIES,SYNONYM,Plantae,Tracheophyta,Rosales,Rosaceae,Rhaphiolepis,Rhaphiolepis bibas,100,Eriobotrya japonica,Kitunda,Kenya,R,eriobotrya japonica,0.076190476,Accepted,scientific_name,kiundwa,Kitunda,both,Eriobotrya japonica
96,Adansonia digitata,Kiamba,SHADE FIREWOOD SOIL_FERTILITY FODDER FRUITS CONSTRUCTION ,Weaving and mabuyu,TRUE,Kenya,kiamba,local_name (replaced NA),Kenya,Adansonia digitata L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Malvales,Malvaceae,Adansonia,Adansonia digitata,100,Adansonia digitata,kiamba,Kenya,V,adansonia digitata,0,Accepted,scientific_name,kiamba,kiamba,both,Adansonia digitata
97,Dalbergia melanoxylon,Muvingo,SHADE FIREWOOD SOIL_FERTILITY FODDER ,,FALSE,Kenya,muvingo,local_name (replaced NA),Kenya,Dalbergia melanoxylon Guill. & Perr.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Dalbergia,Dalbergia melanoxylon,100,Dalbergia melanoxylon,Muvingo,Kenya,R,dalbergia melanoxylon,0,Accepted,scientific_name,muvingo,Muvingo,both,Dalbergia melanoxylon
98,Melia volkensii,Mukau,SHADE FIREWOOD MEDICINAL FODDER CONSTRUCTION ,,FALSE,Kenya,mukau,local_name (replaced NA),Kenya,Melia volkensii Gürke,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Meliaceae,Melia,Melia volkensii,100,Melia volkensii,Mukau,Kenya,R,melia volkensii,0,Accepted,scientific_name,mukau,Mukau,both,Melia volkensii
99,Commiphora glandulosa,Ikuu,SHADE FIREWOOD SOIL_FERTILITY CONSTRUCTION ,Fencing,FALSE,Kenya,ikuu,local_name (replaced NA),Kenya,Commiphora glandulosa Schinz,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Burseraceae,Commiphora,Commiphora glandulosa,100,Commiphora glandulosa,ikuu,Kenya,V,commiphora glandulosa,0,Accepted,scientific_name,ikuu,ikuu,both,Commiphora glandulosa
100,Commiphora glandulosa,Itula,SHADE FIREWOOD SOIL_FERTILITY CONSTRUCTION ,,FALSE,Kenya,itula,local_name (replaced NA),Kenya,Commiphora glandulosa Schinz,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Burseraceae,Commiphora,Commiphora glandulosa,100,Commiphora glandulosa,itula,Kenya,V,commiphora glandulosa,0,Accepted,scientific_name,ikuu,ikuu,both,Commiphora glandulosa
101,Combretum molle,Mwaa,SHADE FIREWOOD SOIL_FERTILITY FODDER CONSTRUCTION ,,FALSE,Kenya,mwaa,local_name (replaced NA),Kenya,Combretum molle R.Br. ex G.Don,SPECIES,ACCEPTED,Plantae,Tracheophyta,Myrtales,Combretaceae,Combretum,Combretum molle,99,Combretum molle,Mwama,Kenya,R,combretum molle,0.046666666666666745,Accepted,scientific_name,mwaa,Mwama,both,Combretum molle
102,Azadirachta indica,mwarubaini,SHADE FIREWOOD MEDICINAL SOIL_FERTILITY FODDER CONSTRUCTION ,,FALSE,Kenya,mwarubaini,local_name (replaced NA),Kenya,Azadirachta indica A.Juss.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Meliaceae,Azadirachta,Azadirachta indica,100,Azadirachta indica,Mwarubaini,Kenya,R,azadirachta indica,0,Accepted,scientific_name,mwarubaini,Mwarubaini,both,Azadirachta indica
103,Dalbergia melanoxylon,Muvingo,SOIL_FERTILITY CONSTRUCTION ,carving,FALSE,Kenya,muvingo,local_name (replaced NA),Kenya,Dalbergia melanoxylon Guill. & Perr.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Dalbergia,Dalbergia melanoxylon,100,Dalbergia melanoxylon,Muvingo,Kenya,R,dalbergia melanoxylon,0,Accepted,scientific_name,muvingo,Muvingo,both,Dalbergia melanoxylon
104,Eriobotrya japonica,kiundwa,SHADE FIREWOOD SOIL_FERTILITY FODDER CONSTRUCTION ,,FALSE,Kenya,kiundwa,local_name (replaced NA),Kenya,Eriobotrya japonica (Thunb.) Lindl.,SPECIES,SYNONYM,Plantae,Tracheophyta,Rosales,Rosaceae,Rhaphiolepis,Rhaphiolepis bibas,100,Eriobotrya japonica,Kitunda,Kenya,R,eriobotrya japonica,0.076190476,Accepted,scientific_name,kiundwa,Kitunda,both,Eriobotrya japonica
105,Terminalia brownii,Kiuuku,SHADE FIREWOOD SOIL_FERTILITY FODDER CONSTRUCTION ,,FALSE,Kenya,kiuuku,local_name (replaced NA),Kenya,Terminalia brownii Fresen.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Myrtales,Combretaceae,Terminalia,Terminalia brownii,100,Terminalia brownii,kiuuku,Kenya,V,terminalia brownii,0,Accepted,scientific_name,kiuku,kiuuku,both,Terminalia brownii
106,Dracaena steudneri,Kithea,SHADE FIREWOOD SOIL_FERTILITY ,Wood carving,FALSE,Kenya,kithea,local_name (replaced NA),Kenya,Dracaena steudneri Engl.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Asparagales,Asparagaceae,Dracaena,Dracaena steudneri,100,Dracaena steudneri,Kithare,Kenya,R,dracaena steudneri,0.061904762,Accepted,scientific_name,kithea,Kithare,both,Dracaena steudneri
107,Rhus natalensis,Muthingii,SHADE FIREWOOD CONSTRUCTION MEDICINAL ,,FALSE,Kenya,muthingii,local_name (replaced NA),Kenya,Rhus natalensis Bernh. ex Krauss,SPECIES,SYNONYM,Plantae,Tracheophyta,Sapindales,Anacardiaceae,Searsia,Searsia natalensis,99,Rhus natalensis,Muthigio,Kenya,R,rhus natalensis,0.069444444,Accepted,scientific_name,muthingii,Muthigio,both,Rhus natalensis
108,Annona cherimola,kitoo,FIREWOOD CONSTRUCTION ,,FALSE,Kenya,kitoo,local_name (replaced NA),Kenya,Annona cherimola Mill.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliales,Annonaceae,Annona,Annona cherimola,100,Annona cherimola,kitomoko,Kenya,V,annona cherimola,0.075,Accepted,scientific_name,kitoo,kitomoko,both,Annona cherimola
109,Acacia mellifera,kithiia,FIREWOOD CONSTRUCTION ,,FALSE,Kenya,kithiia,local_name (replaced NA),Kenya,Acacia mellifera (Vahl.) Benth.,SPECIES,SYNONYM,Plantae,Tracheophyta,Fabales,Fabaceae,Senegalia,Senegalia mellifera,99,Acacia mellifera,kithiia,Kenya,V,acacia mellifera,0,Accepted,scientific_name,muthiia,Muthiia,both,Acacia mellifera
110,Millettia ferruginea,mwava,FIREWOOD CONSTRUCTION FODDER SOIL_FERTILITY SHADE ,,FALSE,Kenya,millettia ferruginea,scientific_name,Kenya,Millettia ferruginea (Hochst.) Hochst. ex Baker,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Millettia,Millettia ferruginea,99,Millettia ferruginea,,,,,,,,,,both,Millettia ferruginea
111,Ficus sur,muvumu,FIREWOOD FODDER SOIL_FERTILITY SHADE ,,FALSE,Kenya,ficus sur,scientific_name,Kenya,Ficus sur Forssk.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Rosales,Moraceae,Ficus,Ficus sur,100,Ficus sur,,,,,,,,,,both,Ficus sur
112,Peltophorum africanum,mugamu,FIREWOOD CONSTRUCTION FODDER SOIL_FERTILITY SHADE ,,FALSE,Kenya,wattle,scientific_name,Kenya,Peltophorum africanum Sond.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Peltophorum,Peltophorum africanum,100,Peltophorum africanum,wattle,,J,peltophorum africanum,0,Accepted,scientific_name,wattle,wattle,both,Peltophorum africanum
113,Croton megalocarpus,croton,FIREWOOD FODDER MEDICINAL SOIL_FERTILITY ,,FALSE,Kenya,croton megalocarpus,scientific_name,Kenya,Croton megalocarpus Hutch.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Malpighiales,Euphorbiaceae,Croton,Croton megalocarpus,100,Croton megalocarpus,,,,,,,,,,both,Croton megalocarpus
114,Bridelia micrantha,mumora,FIREWOOD CONSTRUCTION SOIL_FERTILITY SHADE ,,FALSE,Kenya,bridelia micrantha,scientific_name,Kenya,Bridelia micrantha (Hochst.) Baill.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Malpighiales,Phyllanthaceae,Bridelia,Bridelia micrantha,100,Bridelia micrantha,,,,,,,,,,both,Bridelia micrantha
115,Podocarpus latifolius,podo,FIREWOOD CONSTRUCTION SOIL_FERTILITY SHADE ,,FALSE,Kenya,podocarpus latifolius,scientific_name,Kenya,Podocarpus latifolius (Thunb.) R.Br. ex Mirb.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Pinales,Podocarpaceae,Podocarpus,Podocarpus latifolius,99,Podocarpus latifolius,,,,,,,,,,both,Podocarpus latifolius
116,Erythrina abyssinica,mulungu,SHADE MEDICINAL ,curving,FALSE,Kenya,erythrina abyssince,scientific_name,Kenya,Erythrina abyssinica Lam.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Erythrina,Erythrina abyssinica,96,Erythrina abyssinica,,,,,,,,,,both,Erythrina abyssinica
117,Acacia elatior,,FIREWOOD SHADE ,,FALSE,Kenya,acacia elatior,scientific_name,Kenya,Acacia elatior Brenan,SPECIES,SYNONYM,Plantae,Tracheophyta,Fabales,Fabaceae,Vachellia,Vachellia elatior,100,Acacia elatior,,,,,,,,,,both,Acacia elatior
118,Acacia lahai,mzaule,FODDER FIREWOOD SHADE ,,FALSE,Kenya,mzaule,local_name (replaced NA),Kenya,Acacia lahai Steud. & Hochst. ex Benth.,SPECIES,SYNONYM,Plantae,Tracheophyta,Fabales,Fabaceae,Vachellia,Vachellia lahai,99,Acacia lahai,Mzwaule,Kenya,R,acacia lahai,0.038095238,Accepted,scientific_name,mzaule,Mzwaule,both,Acacia lahai
119,Acacia hockii,mnyanga,SHADE ,,FALSE,Kenya,mnyanga,local_name (replaced NA),Kenya,Acacia hockii De Wild.,SPECIES,SYNONYM,Plantae,Tracheophyta,Fabales,Fabaceae,Vachellia,Vachellia hockii,99,Acacia hockii,mnyanganya,Tanzania,R,acacia hockii,0.06,Accepted,scientific_name,mnyanga,mnyanganya,both,Acacia hockii
120,Euphorbia candelabrum,euphorbia candelabrum,FIREWOOD SHADE ,,FALSE,Kenya,euphorbia candelabrum,local_name (replaced NA),Kenya,Euphorbia candelabrum Welw.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia candelabrum,99,Euphorbia candelabrum,,,,,,,,,,both,Euphorbia candelabrum
121,Ficus sycomorus,mkuyu,SHADE ,,FALSE,Kenya,mkuyu,local_name (replaced NA),Kenya,Ficus sycomorus L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Rosales,Moraceae,Ficus,Ficus sycomorus,100,Ficus sycomorus,mkuyu,Kenya,V,ficus sycomorus,0,Accepted,scientific_name,mkuyu,mkuyu,both,Ficus sycomorus
122,Croton megalocarpus,kithulu,SHADE FIREWOOD FODDER ,,FALSE,Kenya,kithulu,local_name (replaced NA),Kenya,Croton megalocarpus Hutch.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Malpighiales,Euphorbiaceae,Croton,Croton megalocarpus,100,Croton megalocarpus,Kithulu,Kenya,V,croton megalocarpus,0,Accepted,scientific_name,kithulu,Kithulu,both,Croton megalocarpus
123,,Itungati,FIREWOOD CONSTRUCTION ,,FALSE,Kenya,itungati,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
124,Acacia,acacia,CONSTRUCTION FODDER FIREWOOD ,,FALSE,Kenya,acacia,local_name (replaced NA),Kenya,Acacia Mill.,GENUS,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Acacia,,96,Acacia,acacia,,T,acacia spp,0,Accepted,scientific_name,acacia,acacia,both,Acacia
125,Terminalia brownii,muuku,CONSTRUCTION FIREWOOD ,,FALSE,Kenya,muuku,local_name (replaced NA),Kenya,Terminalia brownii Fresen.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Myrtales,Combretaceae,Terminalia,Terminalia brownii,100,Terminalia brownii,Muuku,Kenya,R,terminalia brownii,0,Accepted,scientific_name,kiuku,kiuuku,both,Terminalia brownii
126,Combretum,itithi,CONSTRUCTION SOIL_FERTILITY FIREWOOD ,,FALSE,Kenya,itithi,local_name (replaced NA),Kenya,Combretum Loefl.,GENUS,ACCEPTED,Plantae,Tracheophyta,Myrtales,Combretaceae,Combretum,,96,Combretum,itithi,Kenya,V,combretum glandulosa,0,Accepted,scientific_name,itithi,itithi,both,Combretum
127,Dalbergia melanoxylon,muvingo,CONSTRUCTION FODDER SOIL_FERTILITY FIREWOOD ,,FALSE,Kenya,muvingo,local_name (replaced NA),Kenya,Dalbergia melanoxylon Guill. & Perr.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Dalbergia,Dalbergia melanoxylon,100,Dalbergia melanoxylon,Muvingo,Kenya,R,dalbergia melanoxylon,0,Accepted,scientific_name,muvingo,Muvingo,both,Dalbergia melanoxylon
128,Combretum aculeatum,imuna,CONSTRUCTION SOIL_FERTILITY FIREWOOD ,,FALSE,Kenya,imuna,local_name (replaced NA),Kenya,Combretum aculeatum Vent.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Myrtales,Combretaceae,Combretum,Combretum aculeatum,100,Combretum aculeatum,imuna,Kenya,V,combretum aculeatum,0,Accepted,scientific_name,imuna,imuna,both,Combretum aculeatum
129,Senna siamea,mukenea,CONSTRUCTION FODDER SOIL_FERTILITY FIREWOOD ,,FALSE,Kenya,mukenea,local_name (replaced NA),Kenya,Senna siamea (Lam.) H.S.Irwin & Barneby,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Senna,Senna siamea,100,Senna siamea,Mukengeta,Kenya,V,senna siamea,0.044444444,Accepted,scientific_name,mjohoro,mjohoro,both,Senna siamea
130,,itungate,CONSTRUCTION ,,FALSE,Kenya,itungate,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
131,Senna siamea,mukengeta,CONSTRUCTION SOIL_FERTILITY FIREWOOD ,,FALSE,Kenya,mukengeta,local_name (replaced NA),Kenya,Senna siamea (Lam.) H.S.Irwin & Barneby,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Senna,Senna siamea,100,Senna siamea,Mukengeta,Kenya,V,senna siamea,0,Accepted,scientific_name,mjohoro,mjohoro,both,Senna siamea
132,Balanites aegyptiaca,mululi,CONSTRUCTION SOIL_FERTILITY FIREWOOD ,,FALSE,Kenya,mululi,local_name (replaced NA),Kenya,Balanites aegyptiaca (L.) Delile,SPECIES,ACCEPTED,Plantae,Tracheophyta,Zygophyllales,Zygophyllaceae,Balanites,Balanites aegyptiaca,99,Balanites aegyptiaca,mululi,Kenya,V,balanites aegyptiaca,0,Accepted,scientific_name,kilului,Kilului,both,Balanites aegyptiaca
133,,Muema nzou,CONSTRUCTION SOIL_FERTILITY FIREWOOD ,,FALSE,Kenya,muema nzou,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
134,Balanites aegyptiaca,Kilului,FODDER FRUITS FIREWOOD SHADE SOIL_FERTILITY ,,TRUE,Kenya,kilului,local_name (replaced NA),Kenya,Balanites aegyptiaca (L.) Delile,SPECIES,ACCEPTED,Plantae,Tracheophyta,Zygophyllales,Zygophyllaceae,Balanites,Balanites aegyptiaca,99,Balanites aegyptiaca,Kilului,Kenya,R,balanites aegyptiaca,0,Accepted,scientific_name,kilului,Kilului,both,Balanites aegyptiaca
135,Acacia mellifera,Kithiia,FODDER FIREWOOD SHADE SOIL_FERTILITY ,,FALSE,Kenya,kithiia,local_name (replaced NA),Kenya,Acacia mellifera (Vahl.) Benth.,SPECIES,SYNONYM,Plantae,Tracheophyta,Fabales,Fabaceae,Senegalia,Senegalia mellifera,99,Acacia mellifera,kithiia,Kenya,V,acacia mellifera,0,Accepted,scientific_name,muthiia,Muthiia,both,Acacia mellifera
136,Cassia arereh,Mwela ndathe,FODDER MEDICINAL FIREWOOD SOIL_FERTILITY ,,FALSE,Kenya,mwela ndathe,local_name (replaced NA),Kenya,Cassia arereh Delile,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Cassia,Cassia arereh,100,Cassia arereh,mwela ndathe,Kenya,V,cassia arereh,0,Accepted,scientific_name,mwela ndathe,mwela ndathe,both,Cassia arereh
137,Azadirachta indica,mwarobaini,FODDER FIREWOOD CONSTRUCTION SHADE SOIL_FERTILITY ,,FALSE,Kenya,mwarobaini,local_name (replaced NA),Kenya,Azadirachta indica A.Juss.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Meliaceae,Azadirachta,Azadirachta indica,100,Azadirachta indica,Mwarubaini,Kenya,R,azadirachta indica,0.040000000000000036,Accepted,scientific_name,mwarubaini,Mwarubaini,both,Azadirachta indica
138,Dalbergia melanoxylon,Muvingo,OTHER ,,FALSE,Kenya,muvingo,local_name (replaced NA),Kenya,Dalbergia melanoxylon Guill. & Perr.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Dalbergia,Dalbergia melanoxylon,100,Dalbergia melanoxylon,Muvingo,Kenya,R,dalbergia melanoxylon,0,Accepted,scientific_name,muvingo,Muvingo,both,Dalbergia melanoxylon
139,Tamarindus indica,Kikwasu,FRUITS FIREWOOD CONSTRUCTION SHADE SOIL_FERTILITY ,,TRUE,Kenya,kikwasu,local_name (replaced NA),Kenya,Tamarindus indica L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Tamarindus,Tamarindus indica,100,Tamarindus indica,kikwasu,Kenya,V,tamarindus indica,0,Accepted,scientific_name,mkwaju,Mkwayu,both,Tamarindus indica
140,Croton megalocarpus,Kithulu,FIREWOOD SHADE SOIL_FERTILITY ,,FALSE,Kenya,kithulu,local_name (replaced NA),Kenya,Croton megalocarpus Hutch.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Malpighiales,Euphorbiaceae,Croton,Croton megalocarpus,100,Croton megalocarpus,Kithulu,Kenya,V,croton megalocarpus,0,Accepted,scientific_name,kithulu,Kithulu,both,Croton megalocarpus
141,,Ngalawa,FODDER FRUITS FIREWOOD SHADE ,,TRUE,Kenya,ngalawa,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
142,Terminalia brownii,Kiuuku,FIREWOOD CONSTRUCTION SHADE SOIL_FERTILITY ,,FALSE,Kenya,kiuuku,local_name (replaced NA),Kenya,Terminalia brownii Fresen.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Myrtales,Combretaceae,Terminalia,Terminalia brownii,100,Terminalia brownii,kiuuku,Kenya,V,terminalia brownii,0,Accepted,scientific_name,kiuku,kiuuku,both,Terminalia brownii
